Identifier;Portfolio;AssetClass;Country;AssetID;Nominal;TVPercent;TV;MacaulayDuration;Duration;DollarRateConvexity1pc;RateDelta1bp;SpreadDelta1bp;FXDelta;InflationDelta1bp;Counterparty;ISIN;Market;Variable;Type;Unit;T0;Day 2;shock_std;Comment;Effect;Method
FR0013413887;900200;Bond;France;ORANGE SA (EUR 4.629, Perpetual);4000000.0;0.5245620710454753;4085088.3599174344;0.0410958904453932;0.03936890686535596;15.725012403322586;-16.792174892099837;-16.792174892099837;0.0;0.0;;FR0013413887;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-839.6087446049919;RateDelta1bp × shock_bps
FR0013413887;900200;Bond;France;ORANGE SA (EUR 4.629, Perpetual);4000000.0;0.5245620710454753;4085088.3599174344;0.0410958904453932;0.03936890686535596;15.725012403322586;-16.792174892099837;-16.792174892099837;0.0;0.0;;FR0013413887;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-1175.4522424469885;SpreadDelta1bp × shock_bps
FR0014009A50;900200;Bond;France;BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 1.000, 23-May-2025);5800000.0;0.7489725968219553;5828643.603552497;0.1452054795919112;0.14347548043743863;91.71501247350596;-84.7150559879893;-84.7150559879893;0.0;0.0;;FR0014009A50;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-4235.752799399465;RateDelta1bp × shock_bps
FR0014009A50;900200;Bond;France;BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 1.000, 23-May-2025);5800000.0;0.7489725968219553;5828643.603552497;0.1452054795919112;0.14347548043743863;91.71501247350596;-84.7150559879893;-84.7150559879893;0.0;0.0;;FR0014009A50;Corp Spreads Europe;ITRAXX_SE_FI;absolute;bps;0;80;0.008;Spread vs. swap rate;-6777.204479039145;SpreadDelta1bp × shock_bps
FR001400A5N5;900200;Bond;France;KERING SA (EUR 1.250, 5-May-2025);6800000.0;0.8812776587359725;6860795.735572146;0.0958904110407584;0.09468499072379799;67.83888420815575;-65.82632493901289;-65.82632493901289;0.0;0.0;;FR001400A5N5;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-3291.3162469506447;RateDelta1bp × shock_bps
FR001400A5N5;900200;Bond;France;KERING SA (EUR 1.250, 5-May-2025);6800000.0;0.8812776587359725;6860795.735572146;0.0958904110407584;0.09468499072379799;67.83888420815575;-65.82632493901289;-65.82632493901289;0.0;0.0;;FR001400A5N5;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-4607.842745730903;SpreadDelta1bp × shock_bps
FR001400N6I8;900200;Bond;France;BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 3.750, 3-Feb-2034);100000.0;0.0129358570109462;95763.23174370249;7.650788759547565;7.3929378382798046;671.5227862663645;-76.9401649546299;-76.9401649546299;0.0;0.0;;FR001400N6I8;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-3847.0082477314954;RateDelta1bp × shock_bps
FR001400N6I8;900200;Bond;France;BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 3.750, 3-Feb-2034);100000.0;0.0129358570109462;95763.23174370249;7.650788759547565;7.3929378382798046;671.5227862663645;-76.9401649546299;-76.9401649546299;0.0;0.0;;FR001400N6I8;Corp Spreads Europe;ITRAXX_SE_FI;absolute;bps;0;80;0.008;Spread vs. swap rate;-6155.213196370392;SpreadDelta1bp × shock_bps
FR001400Y969;900200;Bond;France;AIR LIQUIDE SA (EUR 3.500, 21-Mar-2035);5000000.0;0.6438886212624725;4763376.743265262;8.475231362287156;9.212490939603038;40824.502825454365;-4203.629621378072;-4203.629621378072;0.0;0.0;;FR001400Y969;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-210181.4810689036;RateDelta1bp × shock_bps
FR001400Y969;900200;Bond;France;AIR LIQUIDE SA (EUR 3.500, 21-Mar-2035);5000000.0;0.6438886212624725;4763376.743265262;8.475231362287156;9.212490939603038;40824.502825454365;-4203.629621378072;-4203.629621378072;0.0;0.0;;FR001400Y969;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-294254.07349646505;SpreadDelta1bp × shock_bps
FR0128910454;900200;Bond;France;NEUCP ORANOF 20250212 20250423 2.82;3500000.0;0.4485854973700109;3492952.4028418222;0.0638888889443029;0.06283632009543537;22.56402065192675;-22.018709886302737;-22.018709886302737;0.0;0.0;;FR0128910454;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-1100.9354943151368;RateDelta1bp × shock_bps
FR0128910454;900200;Bond;France;NEUCP ORANOF 20250212 20250423 2.82;3500000.0;0.4485854973700109;3492952.4028418222;0.0638888889443029;0.06283632009543537;22.56402065192675;-22.018709886302737;-22.018709886302737;0.0;0.0;;FR0128910454;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-1541.3096920411915;SpreadDelta1bp × shock_bps
FR0128957760;900200;Bond;France;NEUCP MSQTRE 100225 100425;17000000.0;2.1808516269383698;16985032.873219684;0.0277777778003708;0.02822205174513883;46.0609783664252;-46.541987376608986;-46.541987376608986;0.0;0.0;;FR0128957760;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-2327.0993688304493;RateDelta1bp × shock_bps
FR0128957760;900200;Bond;France;NEUCP MSQTRE 100225 100425;17000000.0;2.1808516269383698;16985032.873219684;0.0277777778003708;0.02822205174513883;46.0609783664252;-46.541987376608986;-46.541987376608986;0.0;0.0;;FR0128957760;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-3257.939116362629;SpreadDelta1bp × shock_bps
FR0129030898;900200;Bond;France;NEUCP FAUREC 20250203 20250505 3.085;10000000.0;1.2801144489150478;9955722.598969826;0.0972222223096581;0.09691720239858502;100.30479780098482;-95.61711775863014;-95.61711775863014;0.0;0.0;;FR0129030898;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-4780.855887931507;RateDelta1bp × shock_bps
FR0129030898;900200;Bond;France;NEUCP FAUREC 20250203 20250505 3.085;10000000.0;1.2801144489150478;9955722.598969826;0.0972222223096581;0.09691720239858502;100.30479780098482;-95.61711775863014;-95.61711775863014;0.0;0.0;;FR0129030898;Corp Spreads Europe;ITRAXX_HY;absolute;bps;0;280;0.028;Spread vs. swap rate;-26772.79297241644;SpreadDelta1bp × shock_bps
FR0129061653;900200;Bond;France;NEUCP PLAOMN 20250317 20250717 2.775;20000000.0;2.5465818344889573;19739847.98897749;0.3000000003538458;0.3102242378251413;732.4803652503042;-586.9487698323235;-586.9487698323235;0.0;0.0;;FR0129061653;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-29347.438491616173;RateDelta1bp × shock_bps
FR0129061653;900200;Bond;France;NEUCP PLAOMN 20250317 20250717 2.775;20000000.0;2.5465818344889573;19739847.98897749;0.3000000003538458;0.3102242378251413;732.4803652503042;-586.9487698323235;-586.9487698323235;0.0;0.0;;FR0129061653;Corp Spreads Europe;ITRAXX_HY;absolute;bps;0;280;0.028;Spread vs. swap rate;-164345.65555305057;SpreadDelta1bp × shock_bps
FR0129084762;900200;Bond;France;NEUCP FAUREC 030325 030425 ESTRON 0.55;10000000.0;1.2867748046198073;10022156.26450262;0.0029116403398515;0.002828175774629154;-0.0063948846218409;-2.834948440723462;-8.238394942607345;0.0;0.0;;FR0129084762;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-141.7474220361731;RateDelta1bp × shock_bps
FR0129084762;900200;Bond;France;NEUCP FAUREC 030325 030425 ESTRON 0.55;10000000.0;1.2867748046198073;10022156.26450262;0.0029116403398515;0.002828175774629154;-0.0063948846218409;-2.834948440723462;-8.238394942607345;0.0;0.0;;FR0129084762;Corp Spreads Europe;ITRAXX_HY;absolute;bps;0;280;0.028;Spread vs. swap rate;-2306.7505839300566;SpreadDelta1bp × shock_bps
FR0129105872;900200;Bond;France;NEUCP ILIAD 20250317 20250417 2.93;17700000.0;2.2692109573579806;17662519.740041535;0.0472222222619144;0.04795415359105102;82.55097772169675;-82.3270583505149;-82.3270583505149;0.0;0.0;;FR0129105872;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-4116.352917525745;RateDelta1bp × shock_bps
FR0129105872;900200;Bond;France;NEUCP ILIAD 20250317 20250417 2.93;17700000.0;2.2692109573579806;17662519.740041535;0.0472222222619144;0.04795415359105102;82.55097772169675;-82.3270583505149;-82.3270583505149;0.0;0.0;;FR0129105872;Corp Spreads Europe;ITRAXX_HY;absolute;bps;0;280;0.028;Spread vs. swap rate;-23051.576338144172;SpreadDelta1bp × shock_bps
FR0129106383;900200;Bond;France;NEUCP VCTFP 180325 180625;7000000.0;0.8932957153316644;6949324.08029865;0.2194444446781464;0.21796732393725288;176.35113147557556;-150.60560902201584;-150.60560902201584;0.0;0.0;;FR0129106383;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-7530.280451100792;RateDelta1bp × shock_bps
FR0129106383;900200;Bond;France;NEUCP VCTFP 180325 180625;7000000.0;0.8932957153316644;6949324.08029865;0.2194444446781464;0.21796732393725288;176.35113147557556;-150.60560902201584;-150.60560902201584;0.0;0.0;;FR0129106383;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-10542.392631541108;SpreadDelta1bp × shock_bps
FR0129107795;900200;Bond;France;NEUCP ILIAD 20250324 20250424 2.92;13000000.0;1.6657248566248244;12961148.898694249;0.0666666667237831;0.06696460866229721;87.1364647136686;-85.31655537752246;-85.31655537752246;0.0;0.0;;FR0129107795;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-4265.827768876123;RateDelta1bp × shock_bps
FR0129107795;900200;Bond;France;NEUCP ILIAD 20250324 20250424 2.92;13000000.0;1.6657248566248244;12961148.898694249;0.0666666667237831;0.06696460866229721;87.1364647136686;-85.31655537752246;-85.31655537752246;0.0;0.0;;FR0129107795;Corp Spreads Europe;ITRAXX_HY;absolute;bps;0;280;0.028;Spread vs. swap rate;-23888.63550570629;SpreadDelta1bp × shock_bps
FR0129109759;900200;Bond;France;NEUCP VCTFP 20250331 20250430 2.71;14000000.0;1.793220696194178;13961471.239535987;0.0833333334070602;0.0840871519742785;119.43820155124384;-114.80843626612564;-114.80843626612564;0.0;0.0;;FR0129109759;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-5740.421813306282;RateDelta1bp × shock_bps
FR0129109759;900200;Bond;France;NEUCP VCTFP 20250331 20250430 2.71;14000000.0;1.793220696194178;13961471.239535987;0.0833333334070602;0.0840871519742785;119.43820155124384;-114.80843626612564;-114.80843626612564;0.0;0.0;;FR0129109759;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-8036.590538628795;SpreadDelta1bp × shock_bps
XS0207764712;900200;Bond;France;BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 2.275, Perpetual);12184000.0;1.563912565590435;11925968.772947636;0.2320734425074561;0.23204421228516087;116.36132182246683;-279.1360378925296;-2623.245304030629;0.0;0.0;;XS0207764712;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-13956.80189462648;RateDelta1bp × shock_bps
XS0207764712;900200;Bond;France;BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 2.275, Perpetual);12184000.0;1.563912565590435;11925968.772947636;0.2320734425074561;0.23204421228516087;116.36132182246683;-279.1360378925296;-2623.245304030629;0.0;0.0;;XS0207764712;Corp Spreads Europe;ITRAXX_SUB_FI;absolute;bps;0;190;0.019;Spread vs. swap rate;-498416.6077658195;SpreadDelta1bp × shock_bps
DE000A289RN6;900200;Bond;Germany;MERCEDES BENZ GROUP AG (EUR 2.625, 7-Apr-2025);22000000.0;2.8967348626723237;22561628.226363894;0.0191780822078671;0.019635841711183485;41.47979293407939;-43.273855507907015;-43.273855507907015;0.0;0.0;;DE000A289RN6;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-2163.692775395351;RateDelta1bp × shock_bps
DE000A289RN6;900200;Bond;Germany;MERCEDES BENZ GROUP AG (EUR 2.625, 7-Apr-2025);22000000.0;2.8967348626723237;22561628.226363894;0.0191780822078671;0.019635841711183485;41.47979293407939;-43.273855507907015;-43.273855507907015;0.0;0.0;;DE000A289RN6;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-3029.169885553491;SpreadDelta1bp × shock_bps
DE000A4DE9Y3;900200;Bond;Germany;DEUTSCHE BANK AG (EUR 3.375, 13-Feb-2031);4700000.0;0.598729530943869;4525695.241553664;4.55572566536244;4.6795857358124895;11363.953271045835;-2125.0900667548967;-2125.0900667548967;0.0;0.0;;DE000A4DE9Y3;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-106254.50333774484;RateDelta1bp × shock_bps
DE000A4DE9Y3;900200;Bond;Germany;DEUTSCHE BANK AG (EUR 3.375, 13-Feb-2031);4700000.0;0.598729530943869;4525695.241553664;4.55572566536244;4.6795857358124895;11363.953271045835;-2125.0900667548967;-2125.0900667548967;0.0;0.0;;DE000A4DE9Y3;Corp Spreads Europe;ITRAXX_SE_FI;absolute;bps;0;80;0.008;Spread vs. swap rate;-170007.20534039172;SpreadDelta1bp × shock_bps
DE000NRW0N26;900200;Bond;Germany;LAND NORDRHEIN-WESTFALEN (EUR 3.400, 7-Mar-2073);8500000.0;1.0301603663479597;7286227.332527611;23.547268523168032;38.61748508827112;636055.9528033625;-18456.13517996047;-18456.13517996047;0.0;0.0;;DE000NRW0N26;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-922806.7589980236;RateDelta1bp × shock_bps
DE000NRW0N26;900200;Bond;Germany;LAND NORDRHEIN-WESTFALEN (EUR 3.400, 7-Mar-2073);8500000.0;1.0301603663479597;7286227.332527611;23.547268523168032;38.61748508827112;636055.9528033625;-18456.13517996047;-18456.13517996047;0.0;0.0;;DE000NRW0N26;Gov Spreads;Low risk countries;absolute;bps;0;30;0.003;Spread vs. swap rate;-553684.0553988141;SpreadDelta1bp × shock_bps
XS2152062209;900200;Bond;Germany;VOLKSWAGEN AG (EUR 3.000, 6-Apr-2025);20000000.0;2.643101359132608;20586167.8946806;0.0164383561765415;0.016694762885035536;32.14801758181339;-39.48486545376844;-39.48486545376844;0.0;0.0;;XS2152062209;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-1974.2432726884222;RateDelta1bp × shock_bps
XS2152062209;900200;Bond;Germany;VOLKSWAGEN AG (EUR 3.000, 6-Apr-2025);20000000.0;2.643101359132608;20586167.8946806;0.0164383561765415;0.016694762885035536;32.14801758181339;-39.48486545376844;-39.48486545376844;0.0;0.0;;XS2152062209;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-2763.9405817637908;SpreadDelta1bp × shock_bps
XS2187689034;900200;Bond;Germany;VOLKSWAGEN AG (EUR 3.500, Perpetual);30000000.0;3.947681962797167;30711188.250714786;0.2136986303568917;0.2224368889678663;728.4268521703793;-657.1364608746977;-657.1364608746977;0.0;0.0;;XS2187689034;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-32856.82304373488;RateDelta1bp × shock_bps
XS2187689034;900200;Bond;Germany;VOLKSWAGEN AG (EUR 3.500, Perpetual);30000000.0;3.947681962797167;30711188.250714786;0.2136986303568917;0.2224368889678663;728.4268521703793;-657.1364608746977;-657.1364608746977;0.0;0.0;;XS2187689034;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-45999.55226122884;SpreadDelta1bp × shock_bps
XS2189784288;900200;Bond;Germany;COMMERZBANK AG (EUR 6.125, Perpetual);15000000.0;2.0523488054742245;15891454.382729223;0.497248730146765;0.5010736462748682;1099.3818855309096;-794.9455932069907;-794.9455932069907;0.0;0.0;;XS2189784288;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-39747.27966034954;RateDelta1bp × shock_bps
XS2189784288;900200;Bond;Germany;COMMERZBANK AG (EUR 6.125, Perpetual);15000000.0;2.0523488054742245;15891454.382729223;0.497248730146765;0.5010736462748682;1099.3818855309096;-794.9455932069907;-794.9455932069907;0.0;0.0;;XS2189784288;Corp Spreads Europe;ITRAXX_SUB_FI;absolute;bps;0;190;0.019;Spread vs. swap rate;-151039.66270932823;SpreadDelta1bp × shock_bps
XS2987792269;900200;Bond;Greece;EUROBANK ERGASIAS SA (EUR 4.250, 30-Apr-2035);6000000.0;0.7665946607196744;5653402.3849647585;4.4335789781846895;4.585299073139675;13754.94919394662;-2650.1285306208706;-2650.1285306208706;0.0;0.0;;XS2987792269;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-132506.42653104354;RateDelta1bp × shock_bps
XS2987792269;900200;Bond;Greece;EUROBANK ERGASIAS SA (EUR 4.250, 30-Apr-2035);6000000.0;0.7665946607196744;5653402.3849647585;4.4335789781846895;4.585299073139675;13754.94919394662;-2650.1285306208706;-2650.1285306208706;0.0;0.0;;XS2987792269;Corp Spreads Europe;ITRAXX_SUB_FI;absolute;bps;0;190;0.019;Spread vs. swap rate;-503524.4208179654;SpreadDelta1bp × shock_bps
XS2010031057;900200;Bond;Ireland;ALLIED IRISH BANKS PLC (EUR 6.250, Perpetual);8204000.0;1.0749408946846444;8350168.290471748;0.230769230853327;0.22902899696303972;135.01536103355247;-192.70042649278747;-192.70042649278747;0.0;0.0;;XS2010031057;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-9635.021324639374;RateDelta1bp × shock_bps
XS2010031057;900200;Bond;Ireland;ALLIED IRISH BANKS PLC (EUR 6.250, Perpetual);8204000.0;1.0749408946846444;8350168.290471748;0.230769230853327;0.22902899696303972;135.01536103355247;-192.70042649278747;-192.70042649278747;0.0;0.0;;XS2010031057;Corp Spreads Europe;ITRAXX_SUB_FI;absolute;bps;0;190;0.019;Spread vs. swap rate;-36613.08103362962;SpreadDelta1bp × shock_bps
XS1739839998;900200;Bond;Italy;UNICREDIT SPA (EUR 5.375, Perpetual);18000000.0;2.350339831869259;18269537.945058353;0.1758241758787268;0.17626431035288995;206.0460602138185;-321.01804028304343;-321.01804028304343;0.0;0.0;;XS1739839998;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-16050.902014152172;RateDelta1bp × shock_bps
XS1739839998;900200;Bond;Italy;UNICREDIT SPA (EUR 5.375, Perpetual);18000000.0;2.350339831869259;18269537.945058353;0.1758241758787268;0.17626431035288995;206.0460602138185;-321.01804028304343;-321.01804028304343;0.0;0.0;;XS1739839998;Corp Spreads Europe;ITRAXX_SUB_FI;absolute;bps;0;190;0.019;Spread vs. swap rate;-60993.42765377825;SpreadDelta1bp × shock_bps
XS2110110686;900200;Bond;Italy;BANCA MONTE DEI PASCHI DI SIENA SPA (EUR 2.625, 28-Apr-2025);15000000.0;1.97059769528048;15342390.525745913;0.0767123288327277;0.07686437699509412;117.72849362046114;-117.75376618502531;-117.75376618502531;0.0;0.0;;XS2110110686;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-5887.688309251265;RateDelta1bp × shock_bps
XS2110110686;900200;Bond;Italy;BANCA MONTE DEI PASCHI DI SIENA SPA (EUR 2.625, 28-Apr-2025);15000000.0;1.97059769528048;15342390.525745913;0.0767123288327277;0.07686437699509412;117.72849362046114;-117.75376618502531;-117.75376618502531;0.0;0.0;;XS2110110686;Corp Spreads Europe;ITRAXX_SE_FI;absolute;bps;0;80;0.008;Spread vs. swap rate;-9420.301294802026;SpreadDelta1bp × shock_bps
XS2278566299;900200;Bond;Italy;AUTOSTRADE PER L' ITALIA SPA (EUR 2.000, 15-Jan-2030);4000000.0;0.4825290829643325;3658858.8574951747;4.584713015001348;4.660138994403771;9185.88962174244;-1663.6583111832406;-1663.6583111832406;0.0;0.0;;XS2278566299;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-83182.91555916204;RateDelta1bp × shock_bps
XS2278566299;900200;Bond;Italy;AUTOSTRADE PER L' ITALIA SPA (EUR 2.000, 15-Jan-2030);4000000.0;0.4825290829643325;3658858.8574951747;4.584713015001348;4.660138994403771;9185.88962174244;-1663.6583111832406;-1663.6583111832406;0.0;0.0;;XS2278566299;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-116456.08178282683;SpreadDelta1bp × shock_bps
XS2532681074;900200;Bond;Italy;ENTE FERROVIE DELLO STAT (EUR 3.750, 14-Apr-2027);7500000.0;1.017318087615923;7832540.209485841;1.9329227456670264;1.991685556202243;4383.452251177668;-1531.618654688129;-1531.618654688129;0.0;0.0;;XS2532681074;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-76580.93273440645;RateDelta1bp × shock_bps
XS2532681074;900200;Bond;Italy;ENTE FERROVIE DELLO STAT (EUR 3.750, 14-Apr-2027);7500000.0;1.017318087615923;7832540.209485841;1.9329227456670264;1.991685556202243;4383.452251177668;-1531.618654688129;-1531.618654688129;0.0;0.0;;XS2532681074;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-107213.30582816903;SpreadDelta1bp × shock_bps
XS1684385161;900200;Bond;Japan;SOFTBANK GROUP CORP (EUR 3.125, 19-Sep-2025);8365000.0;1.068737698558925;8261748.1399071915;0.4694444447118195;0.4684738656868406;362.83504782503377;-383.1768078404785;-383.1768078404785;0.0;0.0;;XS1684385161;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-19158.840392023925;RateDelta1bp × shock_bps
XS1684385161;900200;Bond;Japan;SOFTBANK GROUP CORP (EUR 3.125, 19-Sep-2025);8365000.0;1.068737698558925;8261748.1399071915;0.4694444447118195;0.4684738656868406;362.83504782503377;-383.1768078404785;-383.1768078404785;0.0;0.0;;XS1684385161;Corp Spreads Europe;ITRAXX_HY;absolute;bps;0;280;0.028;Spread vs. swap rate;-107289.50619533398;SpreadDelta1bp × shock_bps
DE000A3LKBD0;900200;Bond;Luxembourg;TRATON FINANCE LUXEMBOURG SA (EUR 3.024, 21-Jan-2026);9900000.0;1.2848260222141146;9974680.766250785;0.0633925206185219;0.06311712461029689;6.369009319939778;-63.009527373103786;-798.6098891221635;0.0;0.0;;DE000A3LKBD0;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-3150.476368655189;RateDelta1bp × shock_bps
DE000A3LKBD0;900200;Bond;Luxembourg;TRATON FINANCE LUXEMBOURG SA (EUR 3.024, 21-Jan-2026);9900000.0;1.2848260222141146;9974680.766250785;0.0633925206185219;0.06311712461029689;6.369009319939778;-63.009527373103786;-798.6098891221635;0.0;0.0;;DE000A3LKBD0;Corp Spreads Europe;ITRAXX_SE_FI;absolute;bps;0;80;0.008;Spread vs. swap rate;-63888.79112977308;SpreadDelta1bp × shock_bps
FR0128962497;900200;Bond;Luxembourg;NEUCP ARCMIT 030325 030425;20000000.0;2.5669806458563897;19994605.75683446;0.0083333333407781;0.008514192839904611;15.936074682100465;-16.434733019848487;-16.434733019848487;0.0;0.0;;FR0128962497;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-821.7366509924243;RateDelta1bp × shock_bps
